Designator,Mid X,Mid Y,Rotation,Layer
C1,147.2125,-72.955,0.0,top
C10,133.0625,-53.255,0.0,top
C11,109.8425,-92.875,0.0,top
C12,109.8425,-95.385,0.0,top
C13,119.7125,-47.235,0.0,top
C14,119.7125,-50.245,0.0,top
C15,119.7125,-53.255,0.0,top
C16,119.7125,-56.265,0.0,top
C17,119.7125,-59.275,0.0,top
C18,124.1625,-41.215,0.0,top
C19,124.1625,-44.225,0.0,top
C2,147.2125,-77.205,0.0,top
C20,124.1625,-47.235,0.0,top
C21,124.1625,-50.245,0.0,top
C22,124.1625,-53.255,0.0,top
C23,124.1625,-56.265,0.0,top
C24,124.1625,-59.275,0.0,top
C25,128.6125,-41.215,0.0,top
C26,128.6125,-44.225,0.0,top
C27,128.6125,-47.235,0.0,top
C28,128.6125,-50.245,0.0,top
C29,128.6125,-53.255,0.0,top
C3,109.8425,-90.365,0.0,top
C30,128.6125,-56.265,0.0,top
C31,128.6125,-59.275,0.0,top
C32,133.0625,-41.215,0.0,top
C33,133.0625,-44.225,0.0,top
C34,133.0625,-47.235,0.0,top
C35,133.0625,-50.245,0.0,top
C36,109.8425,-105.425,0.0,top
C37,109.8425,-107.935,0.0,top
C38,113.8525,-90.365,0.0,top
C39,113.8525,-92.875,0.0,top
C4,119.7125,-41.215,0.0,top
C40,113.8525,-95.385,0.0,top
C41,113.8525,-97.895,0.0,top
C42,113.8525,-100.405,0.0,top
C43,113.8525,-102.915,0.0,top
C44,113.8525,-105.425,0.0,top
C45,113.8525,-107.935,0.0,top
C46,117.8625,-90.365,0.0,top
C47,117.8625,-92.875,0.0,top
C48,117.8625,-95.385,0.0,top
C5,119.7125,-44.225,0.0,top
C6,109.8425,-97.895,0.0,top
C7,109.8425,-100.405,0.0,top
C8,133.0625,-56.265,0.0,top
C9,109.8425,-102.915,0.0,top
D1,137.3325,-41.005,0.0,top
D10,141.3825,-48.775,0.0,top
D11,141.3825,-51.365,0.0,top
D12,141.3825,-53.955,0.0,top
D13,145.4325,-41.005,0.0,top
D14,145.4325,-43.595,0.0,top
D15,145.4325,-46.185,0.0,top
D16,145.4325,-48.775,0.0,top
D17,145.4325,-51.365,0.0,top
D18,145.4325,-53.955,0.0,top
D19,149.4825,-41.005,0.0,top
D2,137.3325,-43.595,0.0,top
D20,149.4825,-43.595,0.0,top
D21,149.4825,-46.185,0.0,top
D22,149.4825,-48.775,0.0,top
D23,150.3625,-83.955,0.0,top
D24,149.4825,-51.365,0.0,top
D25,146.5125,-84.505,0.0,top
D3,137.3325,-46.185,0.0,top
D4,137.3325,-48.775,0.0,top
D5,137.3325,-51.365,0.0,top
D6,137.3325,-53.955,0.0,top
D7,141.3825,-41.005,0.0,top
D8,141.3825,-43.595,0.0,top
D9,141.3825,-46.185,0.0,top
J2,134.9125,-84.405,0.0,top
J3,136.8225,-92.095,0.0,top
J4,142.8725,-100.385,0.0,top
Q1,124.4025,-79.255,0.0,top
Q10,138.9225,-115.865,0.0,top
Q11,138.9225,-120.315,0.0,top
Q12,138.9225,-124.765,0.0,top
Q13,138.9225,-129.215,0.0,top
Q14,138.9225,-133.665,0.0,top
Q15,138.9225,-138.115,0.0,top
Q16,143.8125,-111.415,0.0,top
Q17,143.8125,-115.865,0.0,top
Q18,143.8125,-120.315,0.0,top
Q19,143.8125,-124.765,0.0,top
Q2,134.0325,-111.415,0.0,top
Q20,143.8125,-129.215,0.0,top
Q21,143.8125,-133.665,0.0,top
Q22,143.8125,-138.115,0.0,top
Q23,148.7025,-111.415,0.0,top
Q24,75.1125,-45.885,0.0,top
Q25,75.1125,-58.235,0.0,top
Q26,75.1125,-70.585,0.0,top
Q27,75.1125,-82.935,0.0,top
Q28,92.8125,-45.885,0.0,top
Q29,92.8125,-58.235,0.0,top
Q3,134.0325,-115.865,0.0,top
Q30,92.8125,-70.585,0.0,top
Q31,92.8125,-82.935,0.0,top
Q32,110.5125,-45.885,0.0,top
Q33,110.5125,-58.235,0.0,top
Q34,110.5125,-70.585,0.0,top
Q35,110.5125,-82.935,0.0,top
Q4,134.0325,-120.315,0.0,top
Q5,134.0325,-124.765,0.0,top
Q6,134.0325,-129.215,0.0,top
Q7,134.0325,-133.665,0.0,top
Q8,134.0325,-138.115,0.0,top
Q9,138.9225,-111.415,0.0,top
R1,117.8625,-97.895,0.0,top
R10,103.4925,-120.895,0.0,top
R100,119.7125,-131.315,0.0,top
R101,119.7125,-134.265,0.0,top
R102,119.7125,-137.215,0.0,top
R103,124.4625,-110.665,0.0,top
R104,124.4625,-113.615,0.0,top
R105,124.4625,-116.565,0.0,top
R106,124.4625,-119.515,0.0,top
R107,124.4625,-122.465,0.0,top
R108,124.4625,-125.415,0.0,top
R109,124.4625,-128.365,0.0,top
R11,103.4925,-125.785,0.0,top
R110,125.8825,-107.935,0.0,top
R111,129.8925,-90.365,0.0,top
R112,129.8925,-92.875,0.0,top
R113,129.8925,-95.385,0.0,top
R114,94.8025,-106.225,0.0,top
R115,94.8025,-111.115,0.0,top
R116,94.8025,-116.005,0.0,top
R117,94.8025,-120.895,0.0,top
R118,94.8025,-125.785,0.0,top
R119,94.8025,-130.675,0.0,top
R12,103.4925,-130.675,0.0,top
R120,94.8025,-135.565,0.0,top
R121,94.8025,-140.455,0.0,top
R122,124.4625,-131.315,0.0,top
R123,124.4625,-134.265,0.0,top
R124,124.4625,-137.215,0.0,top
R125,129.2125,-110.665,0.0,top
R126,129.2125,-113.615,0.0,top
R127,129.2125,-116.565,0.0,top
R128,129.2125,-119.515,0.0,top
R129,129.2125,-122.465,0.0,top
R13,103.4925,-135.565,0.0,top
R130,150.3425,-97.765,0.0,top
R131,150.3425,-100.775,0.0,top
R132,129.8925,-102.915,0.0,top
R133,129.8925,-105.425,0.0,top
R134,129.8925,-107.935,0.0,top
R14,103.4925,-140.455,0.0,top
R15,103.4925,-91.555,0.0,top
R16,129.8925,-97.895,0.0,top
R17,129.8925,-100.405,0.0,top
R18,117.8625,-100.405,0.0,top
R19,117.8625,-102.915,0.0,top
R2,146.5925,-80.805,0.0,top
R20,117.8625,-105.425,0.0,top
R21,117.8625,-107.935,0.0,top
R22,121.8725,-90.365,0.0,top
R23,121.8725,-92.875,0.0,top
R24,121.8725,-95.385,0.0,top
R25,68.7325,-91.555,0.0,top
R26,68.7325,-96.445,0.0,top
R27,68.7325,-101.335,0.0,top
R28,68.7325,-106.225,0.0,top
R29,68.7325,-111.115,0.0,top
R3,150.3425,-106.795,0.0,top
R30,68.7325,-116.005,0.0,top
R31,68.7325,-120.895,0.0,top
R32,68.7325,-125.785,0.0,top
R33,68.7325,-130.675,0.0,top
